Matricula;TotalCreditos;TotalDebitosObrigatorios;TotalDebitosFacultativos
5381337651;1679.61;186.85;447.83
5381338933;2578.26;2578.26;0.00
5381343686;981.00;101.00;0.00
5381347975;1236.50;299.50;263.74
5381355846;2998.04;333.04;0.00
5381360335;998.00;60.90;236.10
1635074921;1395.37;73.63;453.65
1635074964;1538.35;170.40;469.95
1635075324;1023.12;113.19;315.93
1635075952;3730.22;3730.22;0.00
1635078005;998.00;60.90;217.10
1635078358;1331.16;124.43;321.01
1635081723;978.92;40.99;316.93
1635082037;998.00;61.00;200.00
1635082312;1375.67;152.74;425.93
1635082584;998.00;61.00;307.81
1635084323;998.00;60.23;307.77
1635084889;2452.95;50.45;632.47
1635085109;1658.16;87.50;275.27
1635085370;978.92;41.32;17.60
1635085729;998.00;60.85;304.15
1635085931;3176.29;3176.29;0.00
1635086261;1347.41;149.88;381.15
1635086334;1100.74;102.20;263.93
1635086350;4169.14;73.15;1599.54
1635086580;998.00;60.58;186.42
1635086644;2879.86;255.04;54.06
1635086660;1168.99;130.05;225.65
1635086970;2143.63;238.47;230.93
1635087047;1818.94;95.98;482.10
1635087276;998.00;61.00;209.12
1635087381;3642.74;224.91;871.71
1275436851;998.00;61.00;217.17
1275469709;998.00;61.00;0.00
1275472777;981.00;44.00;263.98
1275474702;2190.97;228.33;476.15
1275475598;4352.49;484.21;1353.09
1275476845;2327.95;72.79;789.35
1275478791;998.00;61.00;264.00
1275478937;998.00;61.00;302.68
1275481342;4542.31;3.68;818.18
1275484015;998.00;61.00;257.92
1275484139;1908.71;212.34;66.64
1275484503;1789.30;94.42;568.15
0001097563;1179.07;130.71;223.36
1635170033;2031.81;225.81;0.00
1635170491;2180.18;188.96;696.51
1635170670;1299.85;68.59;0.00
1635172125;3610.76;226.17;1270.83
1635173482;998.00;61.00;228.23
1635174284;3097.59;246.45;72.87
1635174390;998.00;61.00;281.00
1635174624;2993.79;2993.79;0.00
1635174632;1718.12;191.12;458.00
1635174675;3121.00;347.20;877.70
1635174756;2303.09;232.37;727.72
1635176953;1565.48;174.15;337.45
1635177496;1746.27;162.14;426.97
1635177690;1386.37;154.23;330.61
1635178387;1251.05;139.18;332.87
1635179260;2038.95;190.59;642.03
1635179359;1044.88;116.23;323.25
1635179545;3619.17;155.60;776.13
1635180276;1486.55;165.37;396.01
1635180470;1983.97;219.69;602.08
1635181450;998.00;61.00;258.34
1635181825;2206.85;229.00;644.94
1635182171;998.00;61.00;236.30
1635182481;3557.06;228.29;144.51
1635183011;1907.10;212.13;369.97
1635183143;998.00;61.00;0.00
1635183216;998.00;61.00;0.00
1635183259;2800.01;311.50;659.81
5381794041;998.00;61.00;236.00
5381801056;1717.64;190.10;411.54
1275564680;998.00;61.00;305.14
1275565481;998.00;61.00;703.90
1275566933;978.92;41.92;117.54
1275569428;981.00;44.00;253.26
1275571910;962.26;25.26;189.42
1275575371;962.26;25.26;217.09
1635230389;1972.07;1972.07;0.00
1635231156;998.00;61.00;222.30
1635231466;3336.08;3336.08;0.00
1635231881;1943.77;216.24;255.10
1635231997;2087.89;223.29;423.60
1635232187;1726.18;192.02;200.00
1635235321;2371.55;125.15;796.24
1635235682;1211.22;134.74;320.13
1635235909;2008.77;220.73;0.00
1635236271;778.15;121.15;0.00
1635236379;998.00;61.00;0.00
1635237111;4047.61;404.75;566.34
1635237235;1249.94;139.04;388.13
1635237693;1993.65;221.78;435.30
1635238215;1254.79;139.59;334.35
1635238720;1905.58;178.12;0.00
1635239319;1353.50;150.57;302.07
1635240325;624.49;50.43;140.00
1635240953;2991.40;99.20;0.00
1635241704;2827.66;254.93;50.15
1635242328;998.00;61.00;263.90
1721173886;998.00;61.00;0.00
1721173991;998.00;61.00;0.00
1721174700;4791.28;42.94;436.34
1721175390;2190.11;77.20;0.00
1721175668;998.00;61.00;149.62
1721176311;2351.32;49.11;761.50
1721176621;2559.11;242.95;617.16
1721177113;1944.40;216.30;517.41
1721177318;998.00;61.00;188.83
1721177377;998.00;61.00;0.00
1721178012;998.00;61.00;0.00
1721178179;998.00;61.00;263.80
1721178470;1588.46;176.46;0.00
1721178934;2479.57;239.94;479.63
1721179728;978.92;41.92;0.00
1721180181;998.00;61.00;0.00
1721185175;998.00;61.00;320.40
1721186198;3597.47;156.93;903.62
1721186244;998.00;61.00;0.00
1721186406;2248.73;230.76;709.83
1721186856;1360.48;71.79;419.83
1363496481;1942.99;216.14;256.90
1363496805;1994.38;220.13;478.24
1363497208;2600.28;2600.28;0.00
1363497348;2129.31;187.80;525.96
1363497380;1220.86;135.81;346.35
1363497771;904.09;73.02;0.00
1363498050;1759.32;164.45;477.99
1363498158;2119.86;225.38;568.27
1363498964;2159.25;786.34;716.16
1363499480;1506.92;140.85;471.20
1363499502;2791.10;253.15;700.95
1363500594;998.00;61.00;263.90
1363500942;1718.17;56.98;467.49
1363500977;2321.20;258.23;718.05
1363500985;1074.64;119.55;0.00
1363501043;2140.78;58.04;186.35
1363501264;981.00;44.00;236.30
1363501400;4374.79;4374.79;0.00
1363501450;4479.28;3988.28;0.00
1363502228;1198.55;132.42;265.13
1363502333;169.19;13.67;0.00
1363502368;993.23;55.83;239.40
1363502740;981.00;44.00;263.90
1363503070;1976.39;219.38;530.31
1363503348;998.00;60.16;235.84
1363503666;2758.88;306.91;0.00
1363503771;3959.16;439.03;0.00
1363511596;1553.04;172.77;232.01
1363511723;1387.49;148.37;336.58
1363512061;2338.32;234.50;731.29
1363512142;1450.54;134.68;353.45
1363512177;3208.97;183.06;1109.22
1363512576;4566.90;90.53;1636.68
1363512860;3314.69;237.87;996.92
1363512878;2579.63;286.82;209.81
1363512886;1150.47;38.15;359.84
1363512924;2229.28;229.93;546.14
1363513025;1274.04;141.73;270.51
1363513459;1474.03;137.78;459.67
1363513513;1970.52;184.19;618.68
1363513688;2577.37;286.72;559.92
1363513700;3188.71;354.74;977.51
1363513815;1897.74;177.38;602.02
1363514188;1183.38;131.64;252.84
1363514528;3701.58;122.75;1252.48
1363514684;998.00;60.27;218.73
1363514951;3800.17;422.76;180.98
1363516024;269.35;21.75;0.00
1363516784;1298.63;144.47;311.00
1363517438;998.00;61.00;117.51
1363517730;3947.05;438.52;0.00
1363518167;978.92;41.92;305.30
1363518388;998.00;60.89;232.11
1363518531;4435.07;493.32;328.75
1363519341;2407.07;267.77;0.00
1363521540;1009.14;93.74;222.40
1363521974;998.00;61.00;202.98
1363522300;2431.17;2431.17;0.00
1363522563;998.00;60.05;151.95
1363523314;998.00;61.00;227.64
1363523357;1083.55;100.60;294.77
1363523365;978.92;41.92;305.35
1363523683;998.00;60.08;125.92
1363526348;1254.54;139.55;282.86
1363526712;1367.15;152.09;407.91
1363526950;1349.07;149.09;269.98
1363526992;998.00;61.00;296.65
1363527050;2983.10;250.97;62.10
1363527905;1547.58;172.16;0.00
1363527972;5324.51;1120.27;1228.93
1363528286;998.00;60.10;263.90
1363528510;4578.77;88.04;1809.54
1363529240;998.00;61.00;279.77
1363529657;3272.43;364.05;733.40
1363545954;1691.56;188.18;60.04
1363545989;998.00;61.00;259.12
1363546047;1767.03;196.57;422.13
1363546284;981.00;44.00;263.90
1363546500;1894.73;176.83;600.90
1363546756;981.00;359.00;152.02
1363546942;1136.07;106.19;209.42
1363547329;1931.77;101.93;616.24
1363547752;998.00;61.00;306.60
1363547868;998.00;60.10;263.90
1363548260;998.00;60.70;280.30
1363548392;981.00;44.00;304.41
1363548635;1506.49;139.88;0.00
1363548643;998.00;61.00;306.47
1363548872;1068.54;118.87;284.80
1363549208;1294.85;121.03;406.23
1363549330;998.00;61.00;306.20
1363549569;1501.64;167.05;465.40
1363549887;190.80;14.80;0.00
1363550303;2969.31;330.33;738.84
1363550389;1221.73;64.47;395.86
1363550630;3200.43;242.38;807.14
1363550869;998.00;61.00;163.40
1363551334;3395.86;203.48;1193.95
1363551377;998.00;60.40;178.60
1363553833;2570.49;238.42;400.07
1363553868;3404.53;378.74;286.01
1363553990;1621.43;85.56;432.21
1363554279;2420.86;268.98;422.88
1363554457;3327.43;237.36;1116.23
